Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
40,MVHF  L,155.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,MVHF  L,155.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
42,MVHF  F,155.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,MVHF  F,155.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,MVHF  F,155.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,MVHF K0,156.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
46,MVHF K6,156.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
47,MVHF K0,156.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
48,MVHF K6,156.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,MVHF K0,156.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,MVHF K6,156.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
51,MVHF K1,156.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
52,MDSC K7,156.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
53,MVHF K1,156.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
54,MVHF K7,156.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
55,MVHF K1,156.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
56,MVHF K7,156.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
57,MVHF K1,156.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
58,MVHF K7,156.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
59,MVHF K1,156.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
60,MVHF K7,156.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
61,MVHF K1,156.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
62,MVHF K1,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
63,MVHF K1,156.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
64,MVHF K7,156.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
65,MVHF K6,160.625000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
70,CENTRAL,460.125000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
71,NORTH,460.175000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
72,EAST,460.150000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
73,WEST,460.200000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
74,SOUTH,460.400000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
75,CITY,460.475000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
76,INQ124,460.225000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
77,INQ35,460.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
78,EMS,155.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
79,EMSSOPS,155.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
80,BOED,153.995000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
81,MED1,463.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
82,MED2,463.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
83,MED3,463.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
84,MED4,463.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
85,MED5,463.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
86,MED6,463.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
87,MED7,463.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,MED8,463.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
89,MED9,463.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
90,MED10,463.975000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,SANI,159.105000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
92,BEL-EMS,154.220000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
93,BEL-FG,153.830000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
94,BEL-DPW,155.715000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,BLM-FIR,477.337500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
96,BLM-POL,477.262500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
97,BLM-ALT,476.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
98,NJIT-PO,453.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
121,NOAA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
122,NOAA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
123,NOAA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
124,NOAA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
125,NOAA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
126,NOAA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
127,NOAA7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
